pid,vid,set,caption
P00000001,V006.mp4_25740_25984.avi.npy,train,high kick serve fp returns a ls return short rally fp cross-court rs lands out-side the court
P00000002,V006.mp4_26498_26628.avi.npy,train,np a good serve fp is unable to return it
P00000003,V006.mp4_27071_27200.avi.npy,train,np aims a fine serve at t fp is unable to return it
P00000004,V006.mp4_27954_28053.avi.npy,train,np aims a fine serve at t fp has no answer to it
P00000005,V006.mp4_29700_29831.avi.npy,train,double fault
P00000006,V006.mp4_30675_30903.avi.npy,train,fine serve fp delivers a rs return brief rally np sends a rs cross-court out of the court
P00000007,V006.mp4_31828_31995.avi.npy,train,np aims a bodyline serve fp works a rs return np struggles to keep a cross-court ls in a rally
P00000008,V006.mp4_32622_32841.avi.npy,train,np serves a good one fp puts back a ls return good rally fp hits a ls winner down the line
P00000009,V006.mp4_33683_33870.avi.npy,train,good serve in the middle np crafts a ls return fp cross-court ls fails to land inside the court
P00000010,V006.mp4_34766_35239.avi.npy,train,fp serves wide np works a ls return brief rally fp cross-court rs fails to land inside the court
P00000011,V006.mp4_36031_36214.avi.npy,train,fp hits a good serve np struggles with it before hitting a ls into the net
P00000012,V006.mp4_36758_36841.avi.npy,train,quick serve is an ace
P00000013,V006.mp4_37506_37976.avi.npy,train,good serve wide np returns a quick rs return short rally np hits a ls long and out of court
P00000014,V006.mp4_38754_38859.avi.npy,train,quick serve out wide is an ace
P00000015,V006.mp4_41356_41633.avi.npy,train,serve aimed in the corner np returns a rs return short rally np comes in quickly and smashes a rs winner
P00000016,V006.mp4_42242_42328.avi.npy,train,good serve aimed at t it's an ace
P00000017,V006.mp4_43172_43473.avi.npy,train,quick serve np returns a quick ls return couple of shots exchanged fp sprays a ls outside the court
P00000018,V006.mp4_44081_44294.avi.npy,train,good serve aimed at t np only reaches to it short rally np cross-court fails to clear the net in the middle
P00000019,V006.mp4_44863_45095.avi.npy,train,heavy serve out wide np returns a quick rs return short rally fp strokes a rs cross-court winner which clips the net
P00000020,V006.mp4_46286_46416.avi.npy,train,second serve doesn't make it over the net double fault
P00000021,V006.mp4_46965_47237.avi.npy,train,quick serve np returns a rs return couple of shots exchanged fp pulls a ls cross-court into the net
P00000022,V006.mp4_48200_48418.avi.npy,train,good serve in the middle np returns a quick rs return short rally np cross-court fails to clear the net in the middle
P00000023,V006.mp4_49663_49817.avi.npy,train,huge serve guided at t np returns a quick ls return brief rally fp sends a rs wide out of the court
P00000024,V006.mp4_50596_50770.avi.npy,train,quick serve np crafts a rs return couple of shots exchanged np hits a rs winner deep into the back corner
P00000025,V006.mp4_51780_51948.avi.npy,train,np hits a flat serve wide short rally fp struggles to get a rs over then net
P00000026,V006.mp4_52296_52410.avi.npy,train,np hits a flat serve down the t fp has no answer to it
P00000027,V006.mp4_52884_53008.avi.npy,train,gigantic serve wide is an ace
P00000028,V006.mp4_54138_54337.avi.npy,train,np serves a good one fp puts back a ls return good rally fp cracks a rs winner down the line
P00000029,V006.mp4_56210_56369.avi.npy,train,double fault
P00000030,V006.mp4_57029_57111.avi.npy,train,high kick serve wide is an ace
P00000031,V006.mp4_59907_60146.avi.npy,train,high kick serve fp returns a rs return short rally fp miss hits putting the ball out wide
P00000032,V006.mp4_60768_60948.avi.npy,train,np serves a heavy serve down the middle which fp returns long
P00000033,V006.mp4_61479_61660.avi.npy,train,np aims a fine serve at t a couple of shots exchanged before fp hits a ls long
P00000034,V006.mp4_62863_63056.avi.npy,train,nice serve guided at t fp puts back a rs return before a np rs flies outside the court
P00000035,V006.mp4_64113_64246.avi.npy,train,good serve in the middle fp generates a rs return winner
P00000036,V006.mp4_65083_65298.avi.npy,train,np serves down the t fp returns a ls return brief rally np fails to keep a cross-court ls in the play
P00000037,V006.mp4_65925_66448.avi.npy,train,quick serve fp returns a rs return hard fought rally np flashes a rs cross-court winner
P00000038,V006.mp4_68206_68339.avi.npy,train,double fault
P00000039,V006.mp4_69045_69440.avi.npy,train,good serve fp returns a quick ls return short rally fp cracks a rs winner down the line
P00000040,V006.mp4_70803_71140.avi.npy,train,fine serve fp puts back a rs return good rally np puts a ls volley into the net
P00000041,V006.mp4_74554_74685.avi.npy,train,fast serve down the t is an ace
P00000042,V006.mp4_75182_75302.avi.npy,train,fp arrows a good serve at t np is unable to return it
P00000043,V006.mp4_75775_76170.avi.npy,train,fine serve placed at t np returns a quick ls return couple of shots exchanged fp cross-court fails to clear the net in the middle
P00000044,V006.mp4_76933_77129.avi.npy,train,fp aims a high kick serve np puts back a ls return good rally fp produces a ls cross-court winner
P00000045,V006.mp4_77700_77836.avi.npy,train,sharp angled slice serve np only reaches to it
P00000046,V006.mp4_79602_79753.avi.npy,train,fine serve np shoots a ls return winner
P00000047,V006.mp4_80358_80556.avi.npy,train,quick serve np returns a quick rs return couple of shots exchanged np nets a rs down the line
P00000048,V006.mp4_81121_81247.avi.npy,train,good serve couple of shots exchanged before fp puts the ball into the net
P00000049,V006.mp4_81760_81928.avi.npy,train,good serve down the t a few shots exchanged before fp hits a rs wide of the court
P00000050,V006.mp4_82933_83054.avi.npy,train,fp serves np replies by smashing a rs winner down the line
P00000051,V006.mp4_84044_84192.avi.npy,train,np hits a good serve fp struggles with it returning it long
P00000052,V006.mp4_84605_84838.avi.npy,train,np serves a good one fp delivers a rs return good rally fp cross-court ls fails to land inside the court
P00000053,V006.mp4_85617_85804.avi.npy,train,high kick serve fp crafts a rs return short rally np strokes a ls cross-court winner
P00000054,V006.mp4_86457_86700.avi.npy,train,fine serve fp puts back a rs return brief rally np smacks a rs winner down the line
P00000055,V006.mp4_89489_89647.avi.npy,val,good serve in the middle fp smashes a ls return which np is unable to return
P00000056,V006.mp4_91443_91583.avi.npy,val,fine serve fp cross-court rs return fails to land inside the court
P00000057,V006.mp4_92074_92399.avi.npy,val,quick serve fp returns a quick rs return good rally np whips a ls cross-court winner
P00000058,V006.mp4_93149_93453.avi.npy,val,np serves a good one fp puts back a ls return good rally fp sends a ls long of the court
P00000059,V006.mp4_94068_94243.avi.npy,val,np arrows a bodyline serve fp struggles with it
P00000060,V006.mp4_95269_95430.avi.npy,test,fp serves a high kick serve np returns a rs return fp fails to keep a cross-court rs in the play
P00000061,V006.mp4_96332_96459.avi.npy,test,good serve aimed at t np only reaches to it hitting the return long
P00000062,V006.mp4_97249_97451.avi.npy,test,good serve in the middle np returns a quick ls return short rally np cross-court fails to clear the net in the middle
P00000063,V006.mp4_98158_98339.avi.npy,test,fp serves a high kick serve np returns a quick ls return brief rally np rs catches the net
P00000064,V006.mp4_99213_99357.avi.npy,test,quick serve np crafts a rs return fp goes for a ls down the line but catches the net
P00000065,V006.mp4_100336_100483.avi.npy,test,double fault
P00000066,V006.mp4_100966_101147.avi.npy,test,good serve np generates a rs return fp then returns one into the net
P00000067,V006.mp4_102438_102585.avi.npy,test,fp serves a high kick serve np delivers a high ls return fp produces a ls winner coming to net
P00000068,V006.mp4_103358_103501.avi.npy,test,quick serve np returns a quick rs return fp ls is unable to clear the net
P00000069,V006.mp4_104153_104312.avi.npy,test,fp aims a high kick serve np returns a ls return fp hits a rs cross-court winner
P00000070,V006.mp4_105108_105342.avi.npy,test,good serve in the middle np crafts a ls return short rally np hits a rs cross-court but it fails to clear the net
P00000071,V006.mp4_105930_106015.avi.npy,test,fp hits a bodyline serve np has no answer to it
P00000072,V006.mp4_109040_109205.avi.npy,test,double fault
P00000073,V006.mp4_110170_110297.avi.npy,test,double fault
P00000074,V006.mp4_110916_111174.avi.npy,test,fp aims a high kick serve np crafts a ls return good rally fp sends a rs cross-court out of the court
P00000075,V006.mp4_112227_112353.avi.npy,test,fp arrows a bodyline serve np struggles with it
P00000076,V006.mp4_112914_113211.avi.npy,test,fine serve np works a rs return brief rally np rushes to net and smashes a rs winner
P00000077,V006.mp4_114488_114730.avi.npy,test,quick serve fp returns a ls return couple of shots exchanged fp slaps a rs winner down the line
P00000078,V006.mp4_115795_115927.avi.npy,test,slice serve fp has no answer to it
P00000079,V006.mp4_116797_117253.avi.npy,test,good serve in the middle fp returns a quick rs return long rally np strokes a ls cross-court winner
P00000080,V006.mp4_119088_119188.avi.npy,test,sizzling serve down the t is an ace
P00000081,V006.mp4_119912_120012.avi.npy,test,huge serve down the t is an ace
P00000082,V007.mp4_14580_14706.avi.npy,train,slice serve fp fails to put it back
P00000083,V007.mp4_15107_15199.avi.npy,train,fine serve fp is unable to return it inside the courts
P00000084,V007.mp4_15520_15634.avi.npy,train,gigantic serve out wide is an ace
P00000085,V007.mp4_16247_16387.avi.npy,train,high kick serve fp returns a quick rs return np kicks a ls down the line out of the court
P00000086,V007.mp4_16838_17005.avi.npy,train,np aims a bodyline serve fp returns a rs return np hits a rs cross-court winner
P00000087,V007.mp4_18129_18239.avi.npy,train,np aims a fine serve at t fp only manages to touch it
P00000088,V007.mp4_18793_19049.avi.npy,train,high kick serve fp crafts a rs return rally fp thumps a ls winner down the line
P00000089,V007.mp4_19590_19842.avi.npy,train,fine serve fp returns a quick rs return brief rally np sprays a rs outside the court
P00000090,V007.mp4_20574_20778.avi.npy,train,np aims a high kick serve fp delivers a rs return good rally fp ls goes outside the court
P00000091,V007.mp4_21267_21329.avi.npy,train,gigantic serve in the middle is an ace
P00000092,V007.mp4_22074_22239.avi.npy,train,np goes for a out-wide serve fp returns a quick rs return np fails to keep a cross-court rs in the play
P00000093,V007.mp4_22747_22900.avi.npy,train,np serves a good one fp returns a rs return np runs to the net crafts a rs half-volley but misses the target
P00000094,V007.mp4_23551_23694.avi.npy,train,np serves a high kick serve fp works a rs return np rs fails to clear the net
P00000095,V007.mp4_24449_24741.avi.npy,train,quick serve np crafts a ls return rally fp produces a ls cross-court winner
P00000096,V007.mp4_25163_25253.avi.npy,train,sizzling serve is an ace
P00000097,V007.mp4_26228_26510.avi.npy,train,fp arrows a bodyline serve np puts back a rs return rally fp hits a ls down the line but fails to clear the net
P00000098,V007.mp4_27113_27260.avi.npy,train,quick serve np works a ls return fp moves closer to net goes for a ls smash but it goes long
P00000099,V007.mp4_28331_28616.avi.npy,train,good serve in the middle np returns a quick ls return short rally fp cross-court rs lands out-side the court
P00000100,V007.mp4_29397_29546.avi.npy,train,fine serve np returns a ls return fp hits a ls down the line that np is unable to return
P00000101,V007.mp4_30080_30274.avi.npy,train,good server down the t np slices a ls return fp smashes a rs down the line which np is unable to return
P00000102,V007.mp4_30791_30896.avi.npy,train,good serve aimed at t np rs return doesn't land inside the court
P00000103,V007.mp4_34046_34165.avi.npy,train,short angled slice serve np only manages to touch it
P00000104,V007.mp4_34712_34948.avi.npy,train,fp goes for a out-wide serve np returns a ls return couple of shots exchanged fp ls slice doesn't make it over the net
P00000105,V007.mp4_35321_35440.avi.npy,train,good serve aimed at t np only reaches to it it's an ace
P00000106,V007.mp4_35814_36046.avi.npy,train,good serve in the middle np works a rs return short rally fp runs to the net crafts a ls volley but misses the target
P00000107,V007.mp4_36506_36764.avi.npy,train,fp arrows a bodyline serve np crafts a ls return brief rally fp comes in quickly tries a ls volley but fails to clear the net
P00000108,V007.mp4_37354_37441.avi.npy,train,cannon serve is an ace
P00000109,V007.mp4_37883_38062.avi.npy,train,fp aims a bodyline serve np works a rs return fp ls lands out-side the court
P00000110,V007.mp4_38426_38513.avi.npy,train,lightening serve down the t which np is unable to return
P00000111,V007.mp4_38868_38990.avi.npy,train,fp arrows a good serve np is unable to return it
P00000112,V007.mp4_39516_39714.avi.npy,train,fp serves a good one np returns a quick rs return fp struggles to keep a cross-court rs in a rally
P00000113,V007.mp4_40171_40336.avi.npy,train,good serve np crafts a rs return fp ls goes outside the court
P00000114,V007.mp4_40712_40902.avi.npy,train,quick serve pointed at t np works a rs return brief rally np hits a ls wide of the court
P00000115,V007.mp4_41486_41683.avi.npy,train,fp serves a good one np delivers a rs return good rally np cross-court rs goes into the the net
P00000116,V007.mp4_42268_42451.avi.npy,train,fp serves a high kick serve np returns a ls return fp struggles to keep a cross-court ls in a rally
P00000117,V007.mp4_43296_43462.avi.npy,train,slice serve aimed in the middle np returns a ls return fp sprays a cross-court ls wide of the court
P00000118,V007.mp4_44386_44507.avi.npy,train,fp serves a good one out wide np ls return fails to make it over the net
P00000119,V007.mp4_44990_45254.avi.npy,train,fp serves a acute angled slice serve np crafts a rs return couple of shots exchanged np hits a rs down the line but fails to clear the net
P00000120,V007.mp4_45729_45852.avi.npy,train,nice serve by fp np faces difficulty in returning it
P00000121,V007.mp4_47231_47450.avi.npy,train,sharp angled slice serve fp's return goes long
P00000122,V007.mp4_48115_48210.avi.npy,train,good serve aimed at t fp only reaches to it
P00000123,V007.mp4_48658_48775.avi.npy,train,good serve in the middle fp dumps a rs return into the net
P00000124,V007.mp4_49080_49240.avi.npy,train,fine serve fp works a ls return np rs down the line fails to clear the net
P00000125,V007.mp4_49812_49943.avi.npy,train,sharp angled slice serve fp's return goes long
P00000126,V007.mp4_52373_52741.avi.npy,train,good serve in the middle fp delivers a rs return rally np ls slice fails to clear the net
P00000127,V007.mp4_53410_53677.avi.npy,train,np goes for a out-wide serve fp crafts a rs return couple of shots exchanged np goes for a rs slice but falters with it
P00000128,V007.mp4_54095_54333.avi.npy,train,np hits a acute angled slice serve fp works a ls return well contensted rally fp strokes a ls cross-court winner
P00000129,V007.mp4_54835_54920.avi.npy,train,good serve fp fails to put it back
P00000130,V007.mp4_55220_55346.avi.npy,train,np serves a slice serve fp delivers a ls return np flashes a rs cross-court winner
P00000131,V007.mp4_55934_56310.avi.npy,train,np aims a high kick serve fp crafts a rs return well contensted rally np moves upto the net and places a ls volley winner
P00000132,V007.mp4_56958_57077.avi.npy,train,cannon serve is an ace
P00000133,V007.mp4_57569_57680.avi.npy,train,fine serve fp shoots a rs return winner
P00000134,V007.mp4_58156_58300.avi.npy,train,quick serve fp delivers a rs return np comes in quickly tries a ls volley but it goes long
P00000135,V007.mp4_58844_59107.avi.npy,train,np serves a good one fp works a ls return good rally np cross-court ls fails to land inside the court
P00000136,V007.mp4_60349_60482.avi.npy,train,fine serve np returns a quick ls return fp hits a rs winner down the line
P00000137,V007.mp4_60883_61038.avi.npy,train,quick serve np returns a rs return fp ls goes into the the net
P00000138,V007.mp4_61455_61540.avi.npy,train,fp serves a heavy serve which is an ace
P00000139,V007.mp4_61941_62137.avi.npy,train,good serve in the middle np returns a rs return short rally np hits a ls down the line but misses the court
P00000140,V007.mp4_62498_62608.avi.npy,train,fp arrows a good serve at t np is unable to return it
P00000141,V007.mp4_66178_66316.avi.npy,train,nice serve by fp np faces difficulty in returning it
P00000142,V007.mp4_66960_67183.avi.npy,train,fp serves a high kick serve np works a ls return brief rally fp ls lands out-side the court
P00000143,V007.mp4_67842_68006.avi.npy,train,short angled slice serve np rs return lands long of the court
P00000144,V007.mp4_68268_68462.avi.npy,train,fp serves a good one np returns a quick rs return fp sends a ls volley cross-court long
P00000145,V007.mp4_69372_69471.avi.npy,train,fine serve np's ls return goes long
P00000146,V007.mp4_69737_69874.avi.npy,train,fine serve np is unable to return it
P00000147,V007.mp4_71350_71622.avi.npy,train,quick serve np works a ls return couple of shots exchanged fp rs slice goes into the net
P00000148,V007.mp4_72091_72226.avi.npy,train,nice serve by fp np faces difficulty in returning it in the court
P00000149,V007.mp4_72611_72953.avi.npy,train,slice serve np returns a rs return short rally np rushes in quickly and volleys a ls winner
P00000150,V007.mp4_73614_73785.avi.npy,train,fp produces a bodyline serve np delivers a rs return fp cross-court ls goes into the the net
P00000151,V007.mp4_74946_75056.avi.npy,train,fp serves a good one wide which np returns into the net
P00000152,V007.mp4_76407_76560.avi.npy,train,fp goes for a bodyline serve np returns a ls return fp cross-court rs catches the net
P00000153,V007.mp4_77576_77884.avi.npy,train,good serve in the middle fp works a ls return short rally np ls slice fails to clear the net
P00000154,V007.mp4_78413_78513.avi.npy,train,fine serve fp is unable to return it into court
P00000155,V007.mp4_78835_78918.avi.npy,train,cannon serve down the t is an ace
P00000156,V007.mp4_79287_79415.avi.npy,train,nice wide serve by np fp faces difficulty in returning it
P00000157,V007.mp4_80141_80318.avi.npy,train,good serve aimed at t fp returns a rs return short rally np comes to net and volleys a ls winner
P00000158,V007.mp4_82788_82868.avi.npy,train,np arrows a good serve at t fp is unable to return it
P00000159,V007.mp4_83171_83359.avi.npy,train,quick serve fp returns a ls return couple of shots exchanged fp pushes a rs long
P00000160,V007.mp4_83724_83830.avi.npy,train,good serve aimed at t fp only reaches to it
P00000161,V007.mp4_84315_84445.avi.npy,train,np serves a high kick serve fp rs slice goes outside the court
P00000162,V007.mp4_85014_85364.avi.npy,train,sharp angled slice serve np returns a rs return couple of shots exchanged np slaps a rs cross-court winner
P00000163,V007.mp4_86431_86720.avi.npy,train,good serve in the middle np returns a quick rs return rally fp rushes in quickly and volleys a rs winner
P00000164,V007.mp4_87253_87592.avi.npy,train,acute angled slice serve np puts back a rs return lengthy exchange between the players fp rushes to net and hits a ls smash winner
P00000165,V007.mp4_88142_88428.avi.npy,train,heavy serve aimed at t np crafts a rs return rally np surges towards the net and hits a rs volley winner
P00000166,V007.mp4_89501_89716.avi.npy,train,good serve in the middle short rally fp ls finds the net in the middle
P00000167,V007.mp4_90285_90435.avi.npy,train,fine serve np is unable to return it
P00000168,V007.mp4_90894_91031.avi.npy,train,fp hits a slice serve np returns a quick rs return fp cross-court ls lands wide of the court
P00000169,V007.mp4_91649_91983.avi.npy,train,fp serves a good one np delivers a rs return well contensted rally np reaches to the net and places a rs volley winner
P00000170,V007.mp4_95149_95336.avi.npy,train,good serve in the middle np works a rs return np comes to net and hits a ls volley winner
P00000171,V007.mp4_95858_96021.avi.npy,train,fine serve np crafts a ls return fp's ls goes long
P00000172,V007.mp4_96667_96832.avi.npy,train,sharp angled slice serve np returns a rs return fp whips a rs cross-court winner
P00000173,V007.mp4_97377_97566.avi.npy,train,fp serves a good one np delivers a rs return fp ls taps the net tape and flies outside the court
P00000174,V007.mp4_98260_98483.avi.npy,train,fp aims a wide serve np delivers a rs return short rally np struggles to keep a cross-court ls in the court
P00000175,V007.mp4_99215_99417.avi.npy,train,fine serve np works a rs return brief rally np slices a ls but catches the net
P00000176,V007.mp4_100050_100161.avi.npy,train,fp hits a good serve np struggles with it
P00000177,V007.mp4_100685_100962.avi.npy,train,fp serves a good one np works a rs return rally np ls slice goes wide of the court
P00000178,V007.mp4_101610_101862.avi.npy,val,good serve in the middle fp returns a rs return short rally fp cross-court rs lands out-side the court
P00000179,V007.mp4_102206_102362.avi.npy,val,fine serve fp delivers a rs return brief rally np sends a rs cross-court out of the court
P00000180,V007.mp4_103008_103389.avi.npy,val,np serves a good one fp crafts a rs return extended rally fp puts a ls into the net
P00000181,V007.mp4_104059_104408.avi.npy,val,np serves a high kick serve fp returns a rs return rally fp cross-court ls lands out-side the court
P00000182,V007.mp4_105101_105305.avi.npy,val,quick serve fp delivers a rs return couple of shots exchanged np charges towards the net and hits a ls volley winner
P00000183,V007.mp4_108005_108127.avi.npy,test,good bodyline serve fp fails to get it back
P00000184,V007.mp4_108908_109018.avi.npy,test,good serve fp fails to put it back
P00000185,V007.mp4_109656_109866.avi.npy,test,quick serve fp returns a rs return rally fp whips a rs cross-court winner
P00000186,V007.mp4_110498_110755.avi.npy,test,np serves a good one fp delivers a rs return rally fp ls goes outside the court
P00000187,V007.mp4_111570_111836.avi.npy,test,good serve in the middle fp works a rs return short rally np pulls a ls long
P00000188,V007.mp4_112607_113015.avi.npy,test,fine serve fp crafts a ls return intense rally np moves closer to net goes for a ls volley but it lands just wide
P00000189,V007.mp4_114187_114450.avi.npy,test,np serves a good one fp puts back a ls return rally fp ls finds the net in the middle
P00000190,V007.mp4_115267_115452.avi.npy,test,heavy serve aimed at t fp crafts a ls return short rally fp ls flies outside the court
P00000191,V007.mp4_116164_116276.avi.npy,test,slice serve np has no answer to it
P00000192,V007.mp4_116950_117223.avi.npy,test,fp aims a high kick serve np returns a quick ls return good rally np sends a rs outside the court
P00000193,V007.mp4_117719_117846.avi.npy,test,good serve np returns a rs return fp fails to keep a ls in the play
P00000194,V007.mp4_118581_118784.avi.npy,test,fp produces a bodyline serve np crafts a rs return couple of shots exchanged fp charges towards the net and hits a rs volley winner
P00000195,V007.mp4_119402_119579.avi.npy,test,fp serves a good one np crafts a ls return rally fp comes to net attempts a ls volley but fails to make it over the net
P00000196,V007.mp4_120489_120693.avi.npy,test,fine serve np delivers a rs return brief rally np attempts a ls slice but struggles to keep it inside the court
P00000197,V007.mp4_123247_123363.avi.npy,test,fp aims a fine serve at t np ls fails to make it over the net
P00000198,V007.mp4_123670_124150.avi.npy,test,huge serve guided at t np puts back a rs return well contensted rally np struggles to keep a rs lob in a rally
P00000199,V007.mp4_124692_124922.avi.npy,test,good serve in the middle np crafts a ls return short rally np cross-court rs fails to land inside the court
P00000200,V007.mp4_125289_125441.avi.npy,test,fp serves down the t np reaches a rs return fp comes to net and hits a volley winner
P00000201,V007.mp4_125997_126408.avi.npy,test,quick serve fp returns a rs return huge rally np pulls a rs cross-court lob long of the court
P00000202,V007.mp4_127140_127219.avi.npy,test,np arrows a bodyline serve fp struggles with it
P00000203,V007.mp4_127645_127826.avi.npy,test,fine serve fp puts back a ls return np cross-court ls catches the net
P00000204,V007.mp4_128169_128474.avi.npy,test,quick serve fp crafts a ls return rally np cross-court rs fails to land inside the court
P00000205,V007.mp4_129075_129150.avi.npy,test,massive serve in the middle is an ace
P00000206,V007.mp4_130115_130407.avi.npy,test,np serves a high kick serve fp works a rs return rally fp rushes to net and punches a ls volley winner
P00000207,V007.mp4_132782_132968.avi.npy,test,quick serve fp returns a quick ls return couple of shots exchanged fp ls goes outside the court
P00000208,V007.mp4_133461_133543.avi.npy,test,sizzling serve out wide is an ace
P00000209,V007.mp4_134200_134389.avi.npy,test,good serve in the middle fp returns a rs return np hits a rs cross-court winner
P00000210,V007.mp4_134992_135101.avi.npy,test,fine serve fp is unable to return it
P00000211,V008.mp4_1864_2189.avi.npy,train,good serve in the middle fp returns a rs return short rally fp thumps a rs cross-court winner
P00000212,V008.mp4_2625_2882.avi.npy,train,fine serve fp delivers a ls return np miss-hits a rs which fails to land inside the court
P00000213,V008.mp4_3292_3560.avi.npy,train,np hits a good serve fp hits a rs return brief rally fp smashes a ls winner
P00000214,V008.mp4_3975_4156.avi.npy,train,np serves a good one fp crafts a rs return but it lands wide of the court
P00000215,V008.mp4_4566_4790.avi.npy,train,good serve in the middle fp returns a quick ls return np hits a rs slice out of the court
P00000216,V008.mp4_5832_6088.avi.npy,train,np hits a slice serve wide fp returns a ls return a couple of shots exchanged fp ls lob lands outside of the court
P00000217,V008.mp4_7148_7434.avi.npy,train,np hits a good serve fp returns a rs return good rally np ls down the line lands outside the court
P00000218,V008.mp4_7996_8076.avi.npy,train,np serves a wide and fast ace
P00000219,V008.mp4_8620_8707.avi.npy,train,np slams an ace wide
P00000220,V008.mp4_9061_9240.avi.npy,train,fine serve fp returns a ls np comes to net but pushes a cross-court rs wide
P00000221,V008.mp4_10063_10184.avi.npy,train,great serve down the t is an ace
P00000222,V008.mp4_11036_11441.avi.npy,train,fine serve np hits a fast ls return long rally np rs down the line lands long
P00000223,V008.mp4_12313_12506.avi.npy,train,quick serve np delivers a ls return rally np hits a rs down the line but it's long
P00000224,V008.mp4_13305_13411.avi.npy,train,fp serves a good one np smashes a ls return winner down the line
P00000225,V008.mp4_14263_14564.avi.npy,train,good serve np crafts a ls return rally np rushes to net quickly but misses a ls volley
P00000226,V008.mp4_15044_15287.avi.npy,train,good serve down the t np manages a ls return but fp hits a ls winner down the line
P00000227,V008.mp4_18299_18492.avi.npy,train,fp hits a good serve np hits a ls return short rally np hits a ls into the net in the middle
P00000228,V008.mp4_19401_19888.avi.npy,train,fp serves a good one np delivers a ls return good rally fp hits a rs cross-court but it lands wide of the court
P00000229,V008.mp4_20313_20433.avi.npy,train,great serve down the t is an ace
P00000230,V008.mp4_21181_21341.avi.npy,train,fp serves a good one np ls return fails to make it over the net
P00000231,V008.mp4_21707_21807.avi.npy,train,cannon serve is an ace
P00000232,V008.mp4_22732_23004.avi.npy,train,good serve in the middle fp crafts a ls return short rally fp cross-court ls fails to land inside the court
P00000233,V008.mp4_23390_23656.avi.npy,train,np aims a serve down the t fp crafts a ls return couple of shots exchanged fp cross-court rs lands out-side the court
P00000234,V008.mp4_24341_24469.avi.npy,train,good serve in the middle fp returns a rs return np over-cooks a ls down the line
P00000235,V008.mp4_25204_25355.avi.npy,train,double fault
P00000236,V008.mp4_25836_25980.avi.npy,train,np serves a good one fp crafts a rs return np rs fails to clear the net in the middle
P00000237,V008.mp4_26340_26576.avi.npy,train,np serves fp returns a ls return np ls fails to clear the net in the middle
P00000238,V008.mp4_29534_29632.avi.npy,train,good serve fp fails to put it back
P00000239,V008.mp4_30421_30507.avi.npy,train,gigantic serve in the middle is an ace
P00000240,V008.mp4_31002_31091.avi.npy,train,mighty serve is an ace
P00000241,V008.mp4_31584_31692.avi.npy,train,cannon serve is an ace
P00000242,V008.mp4_32316_32495.avi.npy,train,fine serve np is unable to return it
P00000243,V008.mp4_33129_33314.avi.npy,train,fp aims a high kick serve np works a ls return rally np sends a ls into the net
P00000244,V008.mp4_33724_33978.avi.npy,train,good serve in the middle np returns a quick rs return short rally np struggles to keep a cross-court ls in the court
P00000245,V008.mp4_34677_34879.avi.npy,train,fp goes for a out-wide serve np returns a ls return couple of shots exchanged np hits a rs cross-court winner
P00000246,V008.mp4_35403_35631.avi.npy,train,fp serves a good one np works a rs return rally np flashes a rs cross-court winner
P00000247,V008.mp4_36182_36427.avi.npy,train,good serve in the middle np works a ls return short rally np whips a rs cross-court winner
P00000248,V008.mp4_36983_37282.avi.npy,train,fine serve np crafts a ls return rally np cracks a ls winner down the line
